id,name,followers,popularity
7Ky9MAWbIE0z5VtPSNiMvd,Guitarreros,18619,38
7e3BSeFzlCGyAdbsUbgUaD,Damián Córdoba,272543,56
6I0h9J8iQTeXkAir3RAj9k,Pasado Verde,12917,36
17SdOua747pMkSrZFYlr2L,Expulsados,18136,35
4jwnlVc9Lj5vMkL32978d1,1915,26824,43
53PMMY1sInP2hfK6TzIijL,Chebere,33868,42
625kGlmcaDymYRSEawXlI9,Pitty Murua,16584,41
1cj1ov4uZ0Htsx9PWDpNvi,El Zar,14990,44
137pHEZ9U76r4ouXTa6Bjc,Chanchi y Los Autenticos,14823,41
2tt7weNE75ITTS9gLyAmt4,DJ Liendro,44207,44
09QoQi6E7GP5AePICzRcZe,Chule Von Wernich,35360,44
4nwFiHgPXUpo0KgR1rZSAD,Barbi Recanati,18862,38
5rnUlLid4WEcDmAz6McM33,Mechi Pieretti,14129,46
7vnM4YuUSEpsH03GI0FCRk,Kaniche,6175,36
77pCqwW8HaKBjkTHe395eo,Fili Wey,53427,39
0bYQe0JDIjxkSHQoXlfngl,Acru,193728,59
3XBw8ImFEo86mEB2dYh0vS,Zoe Gotusso,46708,55
4uM6IUL3hMaxnhAKCZCKQJ,Vale Acevedo,29597,38
7xsXCvnZg6qxRNceJZoPZI,FPR,44888,36
2MD9vaOHTMDi3rqNALct0x,Alex Suarez Dj,9481,35
3wsEppaZbJOYZEtwMfNI0o,Todo Aparenta Normal,10761,32
2EIDNRLlK40vvt5EyhiwFE,Los Bonys,12722,31
0CtKVMmjJOoRZugpK3PrPY,DualCoc,8191,13
59OheJsvimLlXWvuL9j7Df,Bruno Arias,18409,38
4p0y36j62bcbAG6Hl0DjUe,Juan José Piedrabuena,10706,37
6lmoqMxughzdlxvQTsUXjF,Ska Cubano,29278,41
22MIR3ehDJgCFIEdTKpYkd,IAH,5589,19
2oWYJFQ324bj4y4Km5eNeX,ha$lopablito,6838,32
0BFrMzagEAYimCHYY1mtW7,Olivia Sellerio,7324,32
1DzNNSFkfQnrf5xjlYqmOg,Viral,11593,13
5CA5IqbsFr4hpNLdjgO0BU,DJ Tao,42659,59
7dlkBH23ERFXxuNoMHq94Y,Q' Lokura,188452,65
0N9TZYLIcufVLj5eQl5GLm,El Triangulo Estudio,38712,47
6ASGA8HXm5wcYHk0dBteDv,Rodridi,6155,48
0aJgv15DVDKvr0yWb5BzP1,Mery Granados,35921,43
1g31gW7m6FH9LljAfobGh8,Marcos Castelló Kaniche,21764,42
4L0qUjWxrWG3vjYu1sasHN,Lisandro Marquez,42968,41
5AmJYBIvICxss43P05MkU8,La Ross Maria,111419,60
32MqW6QPGJov4Vtl2xYs7a,Vuelta Canela,10787,43
3dTtKHXPMLmyevUFZO941G,La Skandalosa Tripulación,10499,42
7v8veUQH2fro2QjkOKS7vB,Coty,14544,40
7hY9Nctj1rismpSsCItWFC,Nacho Prado Y Daniel Campos,7205,40
4Nd3C2EAap4nxcz7eDTA5V,DJ Kbz,63787,42
7tfILFKScRBGGdo0GQkbB9,Godo,16466,43
5oFH7Qr1FHBChxFQ9pDXYq,Tammy Dee,32829,11
01Y0iEnkYUFrKBnAuOCv7Q,Ambros,6371,21
2raahe5HKL8Fd4H03JP9es,Aerodrom,5473,32
0xEo4m46co9IGYyLQ5gRjp,Oliver Mandic,5037,31
1PscH7644ANKkFBSIJwkHt,Seki Turkovic,5760,28
7mU7GZdZcudkj1cF5RFoUO,Boris Novković,5771,34
49SoDlGDK5SmoU7EUmLF8J,Doris Dragović,7083,37
40GGIb7qIrskWYK2JHpyZH,Marta Savic,7954,30
2Jd9XOQzHPFvSFQ9B3divW,Gibonni,20740,40
6PwmECTvXteKtoBQOMo0WA,Jasmin Muharemovic,5903,31
4IBe9m7y3V2rO1nblX5MR4,Osman Hadzic,8877,37
3zuPMne7Hac8d8zjWx3EUx,Attwenger,6554,24
0SRMVHC5eMaIclOnwK2pOy,AlpenRebellen,7149,32
3A9HsPK3BxJTgqw2eWi7aP,Tony Cetinski,17883,39
7bwQY5emHm1vMH17hb8hua,Marko Perković Thompson,6487,38
049W43Hw1Up2EXsZDgcmMt,Nina Badric,13954,38
711l77zwLTPIiN43h3ZJtL,Dzej,23557,37
5X2XAU0eSvRPWUl9hUb9mV,OPM,36035,46
5dEmNDjaVcNDfSiwkbghyM,Zillertaler Haderlumpen,6160,33
0Jcl1CIPsuhr1j3vl1OOnl,Albino,7872,40
5JLw6ymW8NjsrKjLqze64A,Baja Mali Knindza,10440,40
0cmBbO2sr4w0rRGt3rKvs6,Mad Caddies,113616,51
65y8x3zuy7HQVHrb3tn3hM,Zellberg Buam,7562,37
75TWu6cZrPyBeB9k2MLuma,Ostbahn-Kurti & Die Chefpartie,11263,35
02eUZzLCjVzLteitetsffB,Gert Steinbäcker,6957,34
0fLubJall2M6nQ61eCphyj,Natasa Bekvalac,26978,41
058bioyBUzSkKCfrqvODLu,Ursprung Buam,16411,39
3ixpbCRBVOX0c8g6a6eIVg,Die Edlseer,6718,34
69kcnEE47Kd8pe8thqWik9,Hannah,8413,35
6sNHXRLCirFkzNYkAXg4Zq,Jana,6472,41
6o9br0TgZMMQbDnAxLKoC0,Emina,5115,42
6wNpKnX7J4VMll0LKHGGlD,Miroslav Skoro,12454,40
7jPdAP7ZJk1Yape5Yc9O0s,Tropico Band,23209,38
2fvI7o5v5e1U8iVvfRp9sH,Die Grubertaler,9620,40
0tgeIciWi8X9H6taJYRu0o,Mono & Nikitaman,45278,45
